Codigo,Pbt1,Qtara,Tam,Pbt2,Tamax,AET,OBS,Nome,Eixos,Desenho
C1,12000,1,14,12000,14,Nao,Veiculo Comum,Caminhao Simples,02 Eixos,◢⬤══⬤⟧
C2,16000,1,14,16000,14,Nao,Veiculo Comum,Caminhao Simples,02 Eixos,◢⬤══⊚⟧
C3,23000,1,14,23000,14,Nao,Veiculo Comum,Caminhao Simples,03 Eixos,◢⬤══⊚⊚⟧
C4,19500,1,14,19500,14,Nao,Veiculo Comum,Caminhao Simples,03 Eixos,◢⬤══⊚⬤⟧
C5,19500,1,14,19500,14,Nao,Veiculo Comum,Caminhao Simples,03 Eixos,◢⬤══⬤⊚⟧
C6,22000,1,14,22000,14,Nao,Veiculo Comum,Caminhao Simples,03 Eixos,◢⬤⬤══⊚⟧
C7,29000,1,14,29000,14,Nao,Veiculo Comum,Caminhao Simples,04 Eixos,◢⬤⬤══⊚⊚⟧
C8,25500,1,14,25500,14,Nao,Veiculo Comum,Caminhao Simples,04 Eixos,◢⬤⬤══⊚⬤⟧
C9,25500,1,14,25500,14,Nao,Veiculo Comum,Caminhao Simples,04 Eixos,◢⬤⬤══⬤⊚⟧
CTS1,26000,2,16,26000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,03 Eixos,◢⬤══⊚⟧━━⊚⟧
CTS2,33000,2,16,33000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,04 Eixos,◢⬤══⊚⟧━━⊚⊚⟧
CTS3,36000,2,16,36000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,04 Eixos,◢⬤══⊚⟧━━⊚-⊚⟧
CTS4,41500,2,16,41500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,05 Eixos,◢⬤══⊚⟧━━⊚⊚⊚⟧
CTS5,43000,2,16,43000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,05 Eixos,◢⬤══⊚⟧━━⊚-⊚⊚⟧
CTS6,45000,2,16,45000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,05 Eixos,◢⬤══⊚⟧━━⊚-⊚-⊚⟧
CTS7,33000,2,16,33000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,04 Eixos,◢⬤══⊚⊚⟧━━⊚⟧
CTS8,43000,2,16,43000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,05 Eixos,◢⬤══⊚⊚⟧━━⊚-⊚⟧
CTS9,39500,2,16,39500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,05 Eixos,◢⬤══⊚⬤⟧━━⊚-⊚⟧
CTS10,45000,2,16,48500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤══⊚⊚⟧━━⊚⊚⊚⟧
CTS11,48500,2,17.5,58500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,07 Eixos,◢⬤══⊚⊚⟧━━⊚-⊚⊚⊚⟧
CTS12,45000,2,16,45000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤══⊚⬤⟧━━⊚⊚⊚⟧
CTS13,45000,2,16,50000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤══⊚⊚⟧━━⊚-⊚⊚⟧
CTS14,45000,2,16,46500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤══⊚⬤⟧━━⊚-⊚⊚⟧
CTS15,45000,2,16,53000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤══⊚⊚⟧━━⊚-⊚-⊚⟧
CTS16,45000,2,16,49500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤══⊚⬤⟧━━⊚-⊚-⊚⟧
CTS17,29500,2,16,29500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,04 Eixos,◢⬤══⊚⬤⟧━━⊚⟧
CTS18,36500,2,16,36500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,05 Eixos,◢⬤══⊚⬤⟧━━⊚⊚⟧
CTS19,40000,2,16,40000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,05 Eixos,◢⬤══⊚⊚⟧━━⊚⊚⟧
CTS20,45000,2,16,52500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,07 Eixos,◢⬤⬤══⊚⬤⟧━━⊚-⊚⊚⟧
CTS21,45000,2,16,47500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤⬤══⊚⟧━━⊚⊚⊚⟧
CTS22,45000,2,16,54500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,07 Eixos,◢⬤⬤══⊚⊚⟧━━⊚⊚⊚⟧
CTS23,45000,2,16,51000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,07 Eixos,◢⬤⬤══⊚⬤⟧━━⊚⊚⊚⟧
CTS24,39000,2,16,39000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,05 Eixos,◢⬤⬤══⊚⊚⟧━━⊚⟧
CTS25,35500,2,16,35500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,05 Eixos,◢⬤⬤══⊚⬤⟧━━⊚⟧
CTS26,45000,2,16,46000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤⬤══⊚⊚⟧━━⊚⊚⟧
CTS27,42500,2,16,42500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤⬤══⊚⬤⟧━━⊚⊚⟧
CTS28,45000,2,16,49000,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤⬤══⊚⊚⟧━━⊚-⊚⟧
CTS29,45000,2,16,45500,19.30,Nao,Veiculo Comum,Cam Trator + Semirreboque,06 Eixos,◢⬤⬤══⊚⬤⟧━━⊚-⊚⟧
CR1,36000,2,17.5,36000,19.80,Nao,Veiculo Comum,Caminhao + Reboque,04 Eixos,xxx
CR2,43000,2,17.5,43000,19.80,Nao,Veiculo Comum,Caminhao + Reboque,05 Eixos,xxx
CR3,45000,2,17.5,50000,19.80,Nao,Veiculo Comum,Caminhao + Reboque,06 Eixos,xxx
CR4,43000,2,17.5,43000,19.80,Nao,Veiculo Comum,Caminhao + Reboque,05 Eixos,xxx
CR5,45000,2,17.5,50000,19.80,Nao,Veiculo Comum,Caminhao + Reboque,06 Eixos,xxx
CR6,45000,2,17.5,57000,19.80,Nao,Veiculo Comum,Caminhao + Reboque,07 Eixos,xxx
CR7,39500,2,17.5,39500,19.80,Nao,Veiculo Comum,Caminhao + Reboque,05 Eixos,xxx
CR8,45000,2,17.5,46500,19.80,Nao,Veiculo Comum,Caminhao + Reboque,06 Eixos,xxx
CR9,45000,2,17.5,53500,19.80,Nao,Veiculo Comum,Caminhao + Reboque,07 Eixos,xxx
CR10,45000,2,17.5,49000,19.80,Nao,Veiculo Comum,Caminhao + Reboque,06 Eixos,xxx
CR11,45000,2,17.5,56000,19.80,Nao,Veiculo Comum,Caminhao + Reboque,07 Eixos,xxx
CR12,45000,2,17.5,45500,19.80,Nao,Veiculo Comum,Caminhao + Reboque,06 Eixos,xxx
CR13,45000,2,17.5,52500,19.80,Nao,Veiculo Comum,Caminhao + Reboque,07 Eixos,xxx
CTSR1,45000,3,17.5,46000,19.80,Nao,Veiculo Comum,Cam Trator + Semirreboque + Reboque,05 Eixos,◢⬤══⊚⟧━━⊚⟧ -⟦⊚══⊚⟧
CTSR2,45000,3,17.5,53000,19.80,Nao,Veiculo Comum,Cam Trator + Semirreboque + Reboque,06 Eixos,◢⬤══⊚⟧━━⊚⊚⟧ -⟦⊚══⊚⟧
CTSR3,45000,3,17.5,53000,19.80,Nao,Veiculo Comum,Cam Trator + Semirreboque + Reboque,06 Eixos,◢⬤══⊚⟧━━⊚⟧ -⟦⊚══⊚⊚⟧
CTSR4,45000,3,17.5,53000,19.80,Nao,Veiculo Comum,Cam Trator + Semirreboque + Reboque,06 Eixos,◢⬤══⊚⊚⟧━━⊚⟧ -⟦⊚══⊚⟧ 
CTSR5,45000,3,17.5,49500,19.80,Nao,Veiculo Comum,Cam Trator + Semirreboque + Reboque,06 Eixos,◢⬤══⊚⬤⟧━━⊚⟧ -⟦⊚══⊚⟧
CTSR6,45000,3,17.5,56500,19.80,Nao,Veiculo Comum,Cam Trator + Semirreboque + Reboque,07 Eixos,◢⬤══⊚⬤⟧━━⊚⊚⟧ -⟦⊚══⊚⟧
CTSR7,45000,3,17.5,56500,19.80,Nao,Veiculo Comum,Cam Trator + Semirreboque + Reboque,07 Eixos,◢⬤══⊚⬤⟧━━⊚⟧ -⟦⊚══⊚⊚⟧
CTSS1,36000,3,17.5,36000,19.80,Nao,Veiculo Comum,Cam Trator + 2 Semirreboques,04 Eixos,◢⬤══⊚⟧━━⊚⟧━━⊚⟧
CTSS2,43000,3,17.5,43000,19.80,Nao,Veiculo Comum,Cam Trator + 2 Semirreboques,05 Eixos,◢⬤══⊚⊚⟧━━⊚⟧━━⊚⟧
CTSS3,39500,3,17.5,39500,19.80,Nao,Veiculo Comum,Cam Trator + 2 Semirreboques,05 Eixos,◢⬤══⊚⬤⟧━━⊚⟧━━⊚⟧
CTSS4,43000,3,17.5,43000,19.80,Nao,Veiculo Comum,Cam Trator + 2 Semirreboques,05 Eixos,◢⬤══⊚⟧━━⊚⊚⟧━━⊚⟧
CTSS5,45000,3,17.5,50000,19.80,Nao,Veiculo Comum,Cam Trator + 2 Semirreboques,06 Eixos,◢⬤══⊚⊚⟧━━⊚⊚⟧━━⊚⟧
CTSS6,45000,3,17.5,46500,19.80,Nao,Veiculo Comum,Cam Trator + 2 Semirreboques,06 Eixos,◢⬤══⊚⬤⟧━━⊚⊚⟧━━⊚⟧
CTSS7,45000,3,17.5,50000,19.80,Nao,Veiculo Comum,Cam Trator + 2 Semirreboques,06 Eixos,◢⬤══⊚⟧━━⊚⊚⟧━━⊚⊚⟧
CTSS8,45000,3,17.5,57000,19.80,Nao,Veiculo Comum,Cam Trator + 2 Semirreboques,07 Eixos,◢⬤══⊚⊚⟧━━⊚⊚⟧━━⊚⊚⟧
CTSS9,45000,3,17.5,53500,19.80,Nao,Veiculo Comum,Cam Trator + 2 Semirreboques,07 Eixos,◢⬤══⊚⬤⟧━━⊚⊚⟧━━⊚⊚⟧
CTSR1+,46000,3,19.8,46000,30,Sim,Veiculo Longo,Cam Trator + Semirreboque + Reboque,05 Eixos,◢⬤══⊚⟧━━⊚⟧ -⟦⊚══⊚⟧
CTSR2+,53000,3,19.8,53000,30,Sim,Veiculo Longo,Cam Trator + Semirreboque + Reboque,06 Eixos,◢⬤══⊚⊚⟧━━⊚⟧ -⟦⊚══⊚⟧
CTSR3+,53000,3,19.8,53000,30,Sim,Veiculo Longo,Cam Trator + Semirreboque + Reboque,06 Eixos,◢⬤══⊚⟧━━⊚⟧ -⟦⊚══⊚⊚⟧
CTSR4+,60000,3,25,60000,30,Sim,Veiculo Longo,Cam Trator + Semirreboque + Reboque,07 Eixos,◢⬤══⊚⊚⟧━━⊚⊚⟧ -⟦⊚══⊚⟧
